Company,Home,About,Posts,Jobs,People,Insights
Google,Google - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,Product Manager (London),155954 employees,Recognized for best-in-class workplace diversity and inclusion.
Microsoft,Microsoft - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Announcing new AI-powered features for better customer engagement.,Product Manager (London),"Over 10,000 staff worldwide",Selected by UN for global AI ethics initiative.
Amazon,Amazon - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Product launch: Secure Cloud Data Platform now available.,Product Manager (London),Data not available,Achieved $10B revenue milestone last quarter.
Apple,Apple - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Awarded 'Best Employer' in tech sector for 2025.,Marketing Lead (Berlin),185117 employees,Selected by UN for global AI ethics initiative.
Meta,Meta - Innovate. Transform. Lead.,"A global leader in cloud and AI, empowering innovation through cutting-edge platforms and expert services.",Product launch: Secure Cloud Data Platform now available.,DevOps Engineer (Toronto),145242 employees,Recognized for best-in-class workplace diversity and inclusion.
IBM,IBM - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Awarded 'Best Employer' in tech sector for 2025.,Software Engineer (Remote),110839 employees,Achieved $10B revenue milestone last quarter.
Intel,Intel - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Now hiring talented engineers worldwide!,UX Designer (New York),Data not available,Selected by UN for global AI ethics initiative.
Salesforce,Salesforce - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Awarded 'Best Employer' in tech sector for 2025.,UX Designer (New York),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
Oracle,Oracle - Innovate. Transform. Lead.,"Delivering seamless digital experiences with a customer-centric approach in software, hardware, and cloud.",Product launch: Secure Cloud Data Platform now available.,,Data not available,Ranked Top 10 for patent filings in AI technology (2025).
SAP,SAP - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Our founder will speak at Tech World Expo next week.,Marketing Lead (Berlin),90090 employees,Achieved $10B revenue milestone last quarter.
Adobe,Adobe - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,Marketing Lead (Berlin),90479 employees,Selected by UN for global AI ethics initiative.
Tesla,Tesla - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Announcing new AI-powered features for better customer engagement.,Data Scientist (San Francisco),"Over 10,000 staff worldwide",Ranked Top 10 for patent filings in AI technology (2025).
Netflix,Netflix - Innovate. Transform. Lead.,"Dedicated to transforming industries with digital solutions in analytics, AI, and cyber security.",Product launch: Secure Cloud Data Platform now available.,Product Manager (London),Data not available,Recognized for best-in-class workplace diversity and inclusion.
Uber,Uber - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Product launch: Secure Cloud Data Platform now available.,,Data not available,Recognized for best-in-class workplace diversity and inclusion.
Airbnb,Airbnb - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Awarded 'Best Employer' in tech sector for 2025.,,"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
SpaceX,SpaceX - Innovate. Transform. Lead.,Transforming communication and collaboration through next-gen technologies in mobility and cloud.,Our founder will speak at Tech World Expo next week.,Data Scientist (San Francisco),Data not available,Featured in Fortune 100 companies driving digital transformation.
Spotify,Spotify - Innovate. Transform. Lead.,Committed to sustainable growth and technology-driven transformation for businesses of all sizes.,Awarded 'Best Employer' in tech sector for 2025.,Product Manager (London),"Over 10,000 staff worldwide",Featured in Fortune 100 companies driving digital transformation.
